% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
1258.925412	-130.7609613	-139.1008888
1288.249552	-131.0291589	-139.3308063
1318.256739	-131.2967922	-139.5604822
1348.962883	-131.563863	-139.7899138
1380.384265	-131.8303735	-140.0190984
1412.537545	-132.0963255	-140.248033
1445.439771	-132.3617209	-140.4767143
1479.108388	-132.6265616	-140.7051388
1513.561248	-132.8908492	-140.9333029
1548.816619	-133.1545856	-141.1612024
1584.893192	-133.4177723	-141.3888331
1621.810097	-133.680411	-141.6161905
1659.586907	-133.942503	-141.8432696
1698.243652	-134.20405	-142.0700654
1737.800829	-134.4650532	-142.2965724
1778.27941	-134.725514	-142.5227846
1819.700859	-134.9854334	-142.748696
1862.087137	-135.2448127	-142.9743001
1905.460718	-135.5036527	-143.1995898
1949.8446	-135.7619545	-143.424558
1995.262315	-136.0197188	-143.6491968
2041.737945	-136.2769464	-143.8734982
2089.296131	-136.5336377	-144.0974536
2137.96209	-136.7897932	-144.3210539
2187.761624	-137.0454133	-144.5442895
2238.721139	-137.3004982	-144.7671506
2290.867653	-137.5550478	-144.9896264
2344.228815	-137.8090621	-145.2117059
2398.832919	-138.0625408	-145.4333775
2454.708916	-138.3154835	-145.6546289
2511.886432	-138.5678897	-145.8754473
2570.395783	-138.8197584	-146.0958191
2630.267992	-139.0710887	-146.3157303
2691.534804	-139.3218795	-146.535166
2754.228703	-139.5721295	-146.7541107
2818.382931	-139.8218369	-146.9725482
2884.031503	-140.071	-147.1904615
2951.209227	-140.3196167	-147.4078328
3019.95172	-140.5676847	-147.6246435
3090.295433	-140.8152015	-147.8408743
3162.27766	-141.0621641	-148.0565048
3235.936569	-141.3085694	-148.271514
3311.311215	-141.554414	-148.4858799
3388.441561	-141.7996942	-148.6995794
3467.368505	-142.0444057	-148.9125886
3548.133892	-142.2885443	-149.1248827
3630.780548	-142.5321051	-149.3364358
3715.352291	-142.7750829	-149.5472209
3801.893963	-143.0174723	-149.7572101
3890.45145	-143.2592671	-149.9663744
3981.071706	-143.500461	-150.1746838
4073.802778	-143.7410472	-150.3821069
4168.693835	-143.9810184	-150.5886117
4265.795188	-144.2203667	-150.7941646
4365.158322	-144.4590838	-150.9987311
4466.835922	-144.697161	-151.2022756
4570.881896	-144.9345888	-151.4047614
4677.351413	-145.1713573	-151.6061506
4786.300923	-145.407456	-151.806404
4897.788194	-145.6428737	-152.0054817
5011.872336	-145.8775986	-152.2033424
5128.61384	-146.1116182	-152.3999439
5248.074602	-146.3449195	-152.5952428
5370.317964	-146.5774885	-152.7891949
5495.408739	-146.8093106	-152.9817549
5623.413252	-147.0403706	-153.1728765
5754.399373	-147.2706522	-153.3625127
5888.436554	-147.5001385	-153.5506157
6025.595861	-147.7288117	-153.7371369
6165.950019	-147.9566532	-153.922027
6309.573445	-148.1836433	-154.1052361
6456.54229	-148.4097617	-154.2867141
6606.93448	-148.6349868	-154.4664101
6760.829754	-148.8592964	-154.6442732
6918.309709	-149.0826671	-154.8202523
7079.457844	-149.3050745	-154.9942962
7244.359601	-149.5264932	-155.1663538
7413.102413	-149.7468968	-155.3363744
7585.77575	-149.9662578	-155.5043075
7762.471166	-150.1845475	-155.6701032
7943.282347	-150.4017364	-155.8337122
8128.305162	-150.6177935	-155.9950862
8317.637711	-150.8326871	-156.1541779
8511.380382	-151.046384	-156.3109411
8709.6359	-151.2588502	-156.465331
8912.509381	-151.4700504	-156.6173044
9120.108394	-151.6799482	-156.7668197
9332.543008	-151.8885061	-156.9138372
9549.92586	-152.0956855	-157.0583194
9772.37221	-152.3014469	-157.2002307
10000	-152.5057495	-157.3395382
10232.92992	-152.7085516	-157.4762112
10471.28548	-152.9098107	-157.610222
10715.19305	-153.109483	-157.7415454
10964.78196	-153.3075242	-157.8701592
11220.18454	-153.503889	-157.9960443
11481.53621	-153.6985313	-158.1191847
11748.97555	-153.8914044	-158.2395675
12022.64435	-154.0824609	-158.3571831
12302.68771	-154.2716531	-158.4720253
12589.25412	-154.4589328	-158.5840912
12882.49552	-154.6442513	-158.6933814
13182.56739	-154.82756	-158.7998996
13489.62883	-155.00881	-158.9036531
13803.84265	-155.1879525	-159.0046524
14125.37545	-155.3649391	-159.1029115
14454.39771	-155.5397214	-159.1984473
14791.08388	-155.7122518	-159.2912801
15135.61248	-155.882483	-159.381433
15488.16619	-156.0503688	-159.4689324
